"sentence_text";"label_binary";"label_component"
"Los profesionales de la salud están en posición de saber sobre el sufrimiento y la calidad de vida de los pacientes en situaciones terminales";"argumentative";"premise"
"Los profesionales de la salud afirman que la eutanasia es una opción válida para algunos pacientes en situaciones terminales";"argumentative";"premise"
"La eutanasia puede ser una opción válida para algunos pacientes en situaciones terminales";"argumentative";"claim"
"Los profesionales de la salud tienen una formación especializada y están en posición de saber sobre los cuidados paliativos y alternativas al sufrimiento de los pacientes crónicos y terminales.";"argumentative";"premise"
"Los profesionales de la salud en su mayoría se oponen a la eutanasia";"argumentative";"premise"
"La eutanasia no es una opción viable para el cuidado de pacientes crónicos y terminales";"argumentative";"claim"
"El Dr. Eduardo Díaz es un experto en cuidados paliativos que contiene la proposición 'La eutanasia puede ser considerada como una opción razonable en casos terminales de sufrimiento insoportable'";"argumentative";"premise"
"El Dr. Eduardo Díaz afirma que la proposición 'La eutanasia puede ser considerada como una opción razonable en casos terminales de sufrimiento insoportable' es verdadera";"argumentative";"premise"
"La proposición 'La eutanasia puede ser considerada como una opción razonable en casos terminales de sufrimiento insoportable' es verdadera";"argumentative";"claim"
"El Dr. Juan Pérez es un experto en cuidados paliativos que contiene la proposición sobre eutanasia";"argumentative";"premise"
"El Dr. Juan Pérez afirma que la eutanasia no es necesaria en la mayoría de los casos y puede ser peligrosa";"argumentative";"premise"
"La eutanasia no es una solución adecuada para los pacientes terminales y puede causar más mal que bien";"argumentative";"claim"
"El argumento de John Doe contra la eutanasia no debería ser aceptado";"argumentative";"claim"
"El argumento del doctor Juan no debería ser aceptado";"argumentative";"claim"
"Los compromisos del Dr. Juan son inconsistentes en relación a su postura sobre la eutanasia y el alivio del sufrimiento de pacientes terminales.";"argumentative";"claim"
"Los compromisos de Juan son inconsistentes";"argumentative";"claim"
"La gente tiene un derecho a morir con dignidad y sin dolor innecesario";"argumentative";"premise"
"La eutanasia es vista como una forma de ayudar a aquellos que buscan morir con dignidad y sin dolor";"argumentative";"premise"
"Por lo tanto, la eutanasia es una práctica aceptable para aquellos que buscan morir con dignidad y sin dolor innecesario";"argumentative";"claim"
"La mayoría de las personas están en contra de la eutanasia debido a creencias religiosas o morales arraigadas que consideran que la vida humana es sagrada.";"argumentative";"premise"
"Si la mayoría de las personas están en contra de la eutanasia debido a creencias religiosas o morales arraigadas, eso da una razón para pensar que la eutanasia no es aceptable.";"argumentative";"premise"
"Por lo tanto, la eutanasia no es aceptable en este caso.";"argumentative";"claim"
